Project,Dam ID,Gestational age,DPI,fetal heart rate,Femur_length_1,Femur_length_2,Femur_length_3,Avg Femur Length (mm),Biparietal_diameter_1,Biparietal_diameter_2,Biparietal_diameter_3,Avg Biparietal Diameter (mm),Head_circumference_1,Head_circumference_2,Head_circumference_3,Avg Head Circumfrence (mm),Abdominal_circumference_1,Abdominal_circumference_2,Abdominal_circumference_3,Avg Abdominal Circumference (mm)
ZIKV-DAK,030-101,114,66,195.65,29.81,30.63,,30.22,40.53,42.13,,41.33,150.36,149.64,,150,119.5,119.76,,119.63
ZIKV-DAK,030-101,121,73,204.55,33.04,32.25,,32.645,44.14,43.66,,43.9,159.98,158.43,,159.205,122.85,125.75,,124.3
ZIKV-DAK,030-101,128,80,213.025,36.26,36.64,36.2,36.36666667,45.04,45.18,,45.11,169.27,173.62,,171.445,128.15,145.3,148.53,140.66
ZIKV-DAK,030-101,135,87,212.6866667,37.99,37.98,,37.985,47.46,46.27,,46.865,175.54,172.16,,173.85,146.84,143.51,,145.175
ZIKV-DAK,030-101,142,94,206.9,40.37,40.64,,40.505,48.2,47.9,,48.05,174.29,167.27,,170.78,146.09,145.08,,145.585
ZIKV-DAK,030-101,149,101,206.9,44.13,41.85,,42.99,48.63,48.82,,48.725,183.64,185.66,,184.65,152.55,147.94,,150.245
ZIKV-DAK,030-102,40,-4,191.51,,,,,,,,,,,,,,,,
ZIKV-DAK,030-102,47,3,178.22,,,,,,,,,,,,,,,,
ZIKV-DAK,030-102,54,10,197.8,,,,,,,,,,,,,,,,
ZIKV-DAK,030-102,61,17,202.25,7.17,6.93,,7.05,17.45,17.66,17.63,17.58,61.55,61.48,,61.515,55.25,52.54,,53.895
ZIKV-DAK,030-102,75,31,202.25,13.64,13.42,,13.53,24.36,24.24,,24.3,91.16,90.63,,90.895,76.38,73.01,,74.695
ZIKV-DAK,030-102,79,35,172.6566667,,,,,,,,,,,,,,,,
ZIKV-DAK,030-102,82,38,187.5,16.93,17.87,,17.4,28.49,27.94,,28.215,101.54,103.72,,102.63,90.1,87.6,,88.85
ZIKV-DAK,030-102,86,42,185,,,,,,,,,,,,,,,,
ZIKV-DAK,030-102,89,45,178.22,20.15,19.75,,19.95,31.14,30.96,,31.05,114.99,113.77,,114.38,103.14,97.42,,100.28
ZIKV-DAK,030-102,93,49,187.1233333,,,,,,,,,,,,,,,,
ZIKV-DAK,030-102,96,52,178.22,23.28,23.95,,23.615,34.01,33.72,,33.865,123.95,127.07,,125.51,103.89,103.76,,103.825
ZIKV-DAK,030-102,103,59,180,26.46,26.4,,26.43,36.12,36.07,,36.095,139.05,137.57,,138.31,121.11,117.38,,119.245
ZIKV-DAK,030-102,110,66,163.64,31.73,31.34,,31.535,40.2,40.61,,40.405,152.02,149.45,,150.735,121.59,120.44,,121.015
ZIKV-DAK,030-102,117,73,204.55,31.12,31.77,,31.445,42.57,,,42.57,161.83,,,161.83,128.45,123.05,,125.75
ZIKV-DAK,030-102,124,80,176.47,34.24,34.67,,34.455,45.42,45.55,,45.485,166.67,167.48,,167.075,143.54,143.75,144.57,143.9533333
ZIKV-DAK,030-102,131,87,159.29,38.19,35.82,,37.005,44.99,45.42,,45.205,173.12,175.79,,174.455,144.81,145.88,,145.345
ZIKV-DAK,030-102,138,94,151.26,39.92,38.13,,39.025,47.35,47.52,,47.435,175.15,174.4,,174.775,143.41,,,143.41
ZIKV-DAK,030-102,145,101,166.67,41.9,42,,41.95,47.82,48.07,,47.945,178.75,179.21,,178.98,154.9,160.62,155.29,156.9366667
ZIKV-DAK,030-102,149,105,181.82,,,,,,,,,,,,,,,,
ZIKV-DAK,030-102,152,108,156.52,43.8,42.96,,43.38,41.83,,,41.83,161.88,166.91,169.53,166.1066667,146.55,146.9,,146.725
ZIKV-DAK,030-103,42,-4,187,,,,,,,,,,,,,,,,
ZIKV-DAK,030-103,49,3,200,,,,,,,,,,,,,32.88,32.79,,32.835
ZIKV-DAK,030-103,56,10,200,3.72,3.75,,3.735,14.14,14.77,15.34,14.75,51.91,53.99,,52.95,46.55,47.69,,47.12
ZIKV-DAK,030-103,60,14,213.6433333,,,,,,,,,,,,,,,,
ZIKV-DAK,030-103,63,17,200,6.56,6.4,,6.48,19.12,19.29,,19.205,65.62,65.63,,65.625,55.77,56.33,,56.05
ZIKV-DAK,030-103,70,24,197.8,9.3,10,,9.65,22.5,22.1,,22.3,74.91,76.92,,75.915,65.61,68.13,,66.87
ZIKV-DAK,030-103,74,28,189.5166667,,,,,,,,,,,,,,,,
ZIKV-DAK,030-103,77,31,195.65,12.74,,,12.74,24.25,,,24.25,93.25,,,93.25,78.71,72.68,,75.695
ZIKV-DAK,030-103,84,38,189.47,15.3,15.8,,15.55,30.1,29.5,,29.8,104.08,103.89,,103.985,91.24,91.31,,91.275
ZIKV-DAK,030-103,88,42,203.8,,,,,,,,,,,,,,,,
ZIKV-DAK,030-103,91,45,176.47,18.8,18.7,,18.75,32.6,32.9,,32.75,112.04,113.89,,112.965,100.01,97.86,,98.935
ZIKV-DAK,030-103,95,49,187.5,,,,,,,,,,,,,,,,
ZIKV-DAK,030-103,98,52,197.8,22.8,23.3,,23.05,34.2,32.7,,33.45,129.68,130.83,,130.255,110.58,109.64,,110.11
ZIKV-DAK,030-103,102,56,188.2966667,,,,,,,,,,,,,,,,
ZIKV-DAK,030-103,105,59,191.49,26.9,25.8,,26.35,38.8,39.5,,39.15,141.35,140.3,,140.825,120.38,122.33,,121.355
ZIKV-DAK,030-103,110,64,181.835,,,,,,,,,,,,,,,,
ZIKV-DAK,030-103,112,66,189.47,27.5,28.2,,27.85,41.9,42.6,,42.25,150.86,155.81,,153.335,118.01,122.77,,120.39
ZIKV-DAK,030-103,119,73,202.25,31.6,31.3,,31.45,41.5,41.9,,41.7,154.19,155.76,,154.975,124.39,125.97,,125.18
ZIKV-DAK,030-103,126,80,180,33.6,33.8,,33.7,44,44.3,,44.15,164.09,167.98,,166.035,137.58,138.99,,138.285
ZIKV-DAK,030-103,130,84,202.4,,,,,,,,,,,,,,,,
ZIKV-DAK,030-103,133,87,183.67,35.5,35.2,,35.35,45.1,45,,45.05,165.69,167.29,,166.49,134.47,134.12,,134.295
ZIKV-DAK,030-103,137,91,191.51,,,,,,,,,,,,,,,,
ZIKV-DAK,030-103,140,94,181.82,38,39.1,,38.55,46.4,45.9,,46.15,177.79,172.61,,175.2,154.89,143.12,,149.005
ZIKV-DAK,030-103,144,98,197.8,38.6,38,,38.3,47.7,47.2,,47.45,178.75,175.16,,176.955,138.77,149.49,,144.13
ZIKV-DAK,030-103,154,108,174,38.8,,,38.8,48.1,,,48.1,180.9,,,180.9,161.8,,,161.8
ZIKV-DAK,030-103,159,113,188.53,,,,,,,,,,,,,,,,
ZIKV-DAK,030-104,-4,46,189.47,,,,,,,,,,,,,,,,
ZIKV-DAK,030-104,0,50,202.25,2.2,,,2.2,,,,,,,,,39.22,,,39.22
ZIKV-DAK,030-104,10,60,208,5,,,5,18.3,,,18.3,63.6,,,63.6,52.1,,,52.1
ZIKV-DAK,030-104,17,67,202.25,8.7,8.4,,8.55,21.9,22,,21.95,75.9,76.74,,76.32,59.17,59.72,,59.445
ZIKV-DAK,030-104,21,71,210.53,,,,,,,,,,,,,,,,
ZIKV-DAK,030-104,24,74,209.3,11.3,12,,11.65,24.7,23.6,,24.15,91.49,90.24,,90.865,77.52,77.42,,77.47
ZIKV-DAK,030-104,31,81,204.55,14.3,14.1,,14.2,27.9,27.6,,27.75,102.99,103.6,,103.295,84.92,87.56,,86.24
ZIKV-DAK,030-104,35,85,194.6,,,,,,,,,,,,,,,,
ZIKV-DAK,030-104,38,88,190.61,17.4,17,,17.2,32.2,33.1,,32.65,114.43,116.51,,115.47,90.93,90.22,,90.575
ZIKV-DAK,030-104,42,92,190.2033333,,,,,,,,,,,,,,,,
ZIKV-DAK,030-104,45,95,193.55,21.2,20.8,,21,33.8,33.8,,33.8,126.89,125.1,,125.995,107.29,111.91,,109.6
ZIKV-DAK,030-104,49,99,189.57,,,,,,,,,,,,,,,,
ZIKV-DAK,030-104,52,102,191.49,23,23.1,,23.05,38.2,38.3,37.9,38.13333333,137.29,138.16,137.22,137.5566667,106.05,103.33,,104.69
ZIKV-DAK,030-104,56,106,183.67,,,,,,,,,,,,,,,,
ZIKV-DAK,030-104,59,109,181.82,27.3,26.9,,27.1,38.4,37.9,,38.15,148.32,149.11,,148.715,112.81,118.49,,115.65
ZIKV-DAK,030-104,64,114,190.8733333,,,,,,,,,,,,,,,,
